,id,name,price,year,quality,type,volume_l,fuel_type,Kpp,text,date,city,link
0,117546900,Volkswagen Sharan,1900000,2002,Б/у,минивэн,1.9, дизель, КПП автомат,"2002 г., Б/у минивэн, 1.9 л, дизель, КПП автомат, с пробегом 334 000 км, серебристый, литые диски, тонировка, ветровик...",19 сентября,Шымкент,https://kolesa.kz//a/show/117546900
1,125374692,Kia Rio,5200000,2013,Б/у,седан,1.6, бензин, КПП механика,"2013 г., Б/у седан, 1.6 л, бензин, КПП механика, с пробегом 123 000 км, металлик, литые диски, тонировка, люк, панорам...",19 сентября,Нур-Султан (Астана),https://kolesa.kz//a/show/125374692
2,122322579,Infiniti FX35,5100000,2003,Б/у,кроссовер,3.5, бензин, КПП автомат,"2003 г., Б/у кроссовер, 3.5 л, бензин, КПП автомат, с пробегом 450 км, серебристый, металлик, Машина в хорошем состоян...",19 сентября,Караганда,https://kolesa.kz//a/show/122322579
3,125705583,Volkswagen Golf,3000000,1998,Б/у,хэтчбек,1.6, бензин, КПП автомат,"1998 г., Б/у хэтчбек, 1.6 л, бензин, КПП автомат, с пробегом 320 460 км, серебристый, металлик, литые диски, хрустальн...",19 сентября,Шымкент,https://kolesa.kz//a/show/125705583
4,125705381,Toyota Camry,5000000,2010,Б/у,седан,2.5, бензин, КПП автомат,"2010 г., Б/у седан, 2.5 л, бензин, КПП автомат, черный, металлик, тонировка, кожа, MP3, USB, Продам машину в идеальном...",19 сентября,Нур-Султан (Астана),https://kolesa.kz//a/show/125705381
5,124916333,Mercedes-Benz S 500,5500000,2007,Б/у,седан,5.5, бензин, КПП автомат,"2007 г., Б/у седан, 5.5 л, бензин, КПП автомат, черный, металлик, литые диски, тонировка, люк, ксенон, биксенон, хруст...",19 сентября,Алматы,https://kolesa.kz//a/show/124916333
6,125664235,Mitsubishi Outlander,3600000,2007,Б/у,кроссовер,3, бензин, КПП автомат,"2007 г., Б/у кроссовер, 3 л, бензин, КПП автомат, По вложению все видно на фото. Учёт АРМЕНИЯ. На бодром активном ходу...",19 сентября,Атырау,https://kolesa.kz//a/show/125664235
7,125664005,ВАЗ (Lada) XRAY,4500000,2019,Б/у,хэтчбек,1.6, бензин, КПП механика,"2019 г., Б/у хэтчбек, 1.6 л, бензин, КПП механика, с пробегом 99 000 км, черный, металлик, литые диски, тонировка, про...",19 сентября,Нур-Султан (Астана),https://kolesa.kz//a/show/125664005
8,125664084,Toyota Camry Gracia,2100000,1998,Б/у,седан,2.2, бензин, правый руль,"1998 г., Б/у седан, 2.2 л, бензин, правый руль, КПП автомат, с пробегом 1 км, серебристый, литые диски, тонировка, вет...",19 сентября,Усть-Каменогорск,https://kolesa.kz//a/show/125664084
9,125664085,Nissan Juke,5900000,2013,Б/у,кроссовер,1.6, бензин, КПП механика,"2013 г., Б/у кроссовер, 1.6 л, бензин, КПП механика, с пробегом 30 000 км, металлик, литые диски, хрустальная оптика,...",19 сентября,Усть-Каменогорск,https://kolesa.kz//a/show/125664085
